Sector,Z+ θmin,Z+ θmax,Y- θmin,Y- θmax,Z- θmin,Z- θmax,Y+ θmin,Y+ θmax
1,75.275,89.279,77.263,87.318,21.982,21.982,77.263,87.318
2,75.45,89.289,77.418,89.642,22.233,22.233,68.965,69.021
3,75.968,89.315,77.871,89.655,23.005,23.005,52.764,52.764
4,76.822,89.36,78.615,89.66,24.384,24.384,41.77,41.77
5,77.998,89.417,79.638,89.577,26.539,26.539,34.553,34.553
6,79.474,89.49,79.474,89.49,29.761,29.761,29.761,29.761
7,79.638,89.577,77.998,89.417,34.553,34.553,26.539,26.539
8,78.615,89.66,76.822,89.36,41.77,41.77,24.384,24.384
9,77.871,89.655,75.968,89.315,52.764,52.764,23.005,23.005
10,77.418,89.642,75.45,89.289,68.965,69.021,22.233,22.233
11,77.264,87.06,75.276,89.279,77.264,87.06,21.984,21.984
12,68.965,69.021,75.45,89.289,77.418,89.642,22.233,22.233
13,52.764,52.764,75.968,89.315,77.871,89.655,23.005,23.005
14,41.77,41.77,76.822,89.36,75.805,89.651,24.384,24.384
15,34.553,34.553,77.998,89.417,71.582,89.565,26.539,26.539
16,29.761,29.761,77.59,89.49,68.167,81.939,29.761,29.761
17,26.539,26.539,68.482,89.577,65.371,76.85,34.553,34.553
18,24.384,24.384,66.528,87.162,63.21,75.57,41.77,41.77
19,23.005,23.005,65.13,82.122,61.676,74.642,52.764,52.764
20,22.233,22.233,64.295,81.822,60.759,74.081,63.686,69.021
21,21.984,21.984,64.016,81.55,60.456,73.892,64.016,81.55
22,22.233,22.233,63.686,69.021,60.759,74.081,64.295,81.822
23,23.005,23.005,52.764,52.764,61.676,74.642,65.13,82.122
24,24.384,24.384,41.77,41.77,63.21,75.57,66.528,87.162
25,26.539,26.539,34.553,34.553,65.371,76.85,68.482,89.577
26,29.761,29.761,29.761,29.761,68.167,81.939,77.59,89.49
27,34.553,34.553,26.539,26.539,71.582,89.565,77.998,89.417
28,41.77,41.77,24.384,24.384,75.805,89.651,76.822,89.36
29,52.764,52.764,23.005,23.005,77.871,89.655,75.968,89.315
30,68.965,69.021,22.233,22.233,77.418,89.642,75.45,89.289
31,77.264,87.06,21.984,21.984,77.264,87.06,75.276,89.279
32,77.418,89.642,22.233,22.233,68.965,69.021,75.45,89.289
33,77.871,89.655,23.005,23.005,52.764,52.764,75.968,89.315
34,78.615,89.66,24.384,24.384,41.77,41.77,76.822,89.36
35,79.638,89.577,26.539,26.539,34.553,34.553,77.998,89.417
36,79.474,89.49,29.761,29.761,29.761,29.761,79.474,89.49
37,77.998,89.417,34.553,34.553,26.539,26.539,79.638,89.577
38,76.822,89.36,41.77,41.77,24.384,24.384,78.615,89.66
39,75.968,89.315,52.764,52.764,23.005,23.005,77.871,89.655
40,75.45,89.289,68.965,69.021,22.233,22.233,77.418,89.642
